SYEAR,SSEASON,DIMENSIONS,REPORT_ID,MARK_CODE,REPORT_KIND,ACCOUNT_ID,ACCOUNT_CNAME,ACCOUNT_ENAME,ELEMENT_ID
2020,2,X,個別,一般,資產負債表,,資產,Assets,ifrs-full_AssetsAbstract
2020,2,X,個別,一般,資產負債表,,　流動資產,　Current assets,ifrs-full_CurrentAssetsAbstract
2020,2,X,個別,一般,資產負債表,1100,　　現金及約當現金,　　Cash and cash equivalents,ifrs-full_CashAndCashEquivalents
2020,2,X,個別,一般,資產負債表,1101,　　　庫存現金,　　　Cash on hand,ifrs-full_CashOnHand
2020,2,X,個別,一般,資產負債表,1102,　　　零用金／週轉金,　　　Petty cash/revolving funds,tifrs-bsci-ci_PettyCashRevolvingFunds
2020,2,X,個別,一般,資產負債表,1103,　　　銀行存款,　　　Cash in banks,ifrs-full_BalancesWithBanks
2020,2,X,個別,一般,資產負債表,1105,　　　在途現金,　　　Cash in transit,tifrs-bsci-ci_CashInTransit
2020,2,X,個別,一般,資產負債表,1107,　　　約當現金,　　　Cash equivalents,ifrs-full_CashEquivalents
2020,2,X,個別,一般,資產負債表,1110,　　透過損益按公允價值衡量之金融資產－流動,　　Current financial assets at fair value through profit or loss,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLoss
2020,2,X,個別,一般,資產負債表,1111,　　　指定透過損益按公允價值衡量之金融資產－流動,　　　Current financial assets designated at fair value through profit or loss,ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedUponInitialRecognition
2020,2,X,個別,一般,資產負債表,1112,　　　指定透過損益按公允價值衡量之金融資產評價調整－流動,　　　Adjustments for change in value of current financial assets designated at fair value through profit or loss,tifrs-bsci-ci_AdjustmentsForChangeInValueOfCurrentFinancialAssetsAtFairValueThroughProfitOrLossDesignatedAsUponInitialRecognition
2020,2,X,個別,一般,資產負債表,1113,　　　強制透過損益按公允價值衡量之金融資產－流動,"　　　Current financial assets at fair value through profit or loss, mandatorily measured at fair value",ifrs-full_CurrentFinancialAssetsAtFairValueThroughProfitOrLossMandatorilyMeasuredAtFairValue
